Country,continent,City,State,Latitude,Longitude,Condition,Min_Temperature,Max_Temperature,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million
Afghanistan,Asia,Ashkāsham,Badakhshan,36.68333000,71.53333000,few clouds,0.37,0.37,235214.0,0.0,7998.0,0.0,5796.468,197.098
Afghanistan,Asia,Fayzabad,Badakhshan,37.11664000,70.58002000,broken clouds,15.86,15.86,235214.0,0.0,7998.0,0.0,5796.468,197.098
Afghanistan,Asia,Jurm,Badakhshan,36.86477000,70.83421000,scattered clouds,11.59,11.59,235214.0,0.0,7998.0,0.0,5796.468,197.098
Afghanistan,Asia,Khandūd,Badakhshan,36.95127000,72.31800000,few clouds,1.65,1.65,235214.0,0.0,7998.0,0.0,5796.468,197.098
Afghanistan,Asia,Ghormach,Badghis,35.73062000,63.78264000,broken clouds,22.46,22.46,235214.0,0.0,7998.0,0.0,5796.468,197.098
Afghanistan,Asia,Qala i Naw,Badghis,34.98735000,63.12891000,clear sky,21.17,21.17,235214.0,0.0,7998.0,0.0,5796.468,197.098
Afghanistan,Asia,Baghlān,Baghlan,36.13068000,68.70829000,broken clouds,23.56,23.56,235214.0,0.0,7998.0,0.0,5796.468,197.098
Afghanistan,Asia,Ḩukūmatī Dahanah-ye Ghōrī,Baghlan,35.90617000,68.48869000,scattered clouds,21.2,21.2,235214.0,0.0,7998.0,0.0,5796.468,197.098
Afghanistan,Asia,Rāghistān,Badakhshan,37.66079000,70.67346000,scattered clouds,1.52,1.52,235214.0,0.0,7998.0,0.0,5796.468,197.098
Afghanistan,Asia,Wākhān,Badakhshan,37.05710000,73.34928000,clear sky,-13.22,-13.22,235214.0,0.0,7998.0,0.0,5796.468,197.098
Albania,Europe,Banaj,Berat,40.82492000,19.84074000,broken clouds,19.05,19.05,335047.0,0.0,3605.0,0.0,118491.02,1274.926
Albania,Europe,Berat,Berat,40.70583000,19.95222000,light rain,17.61,17.61,335047.0,0.0,3605.0,0.0,118491.02,1274.926
Albania,Europe,Çorovodë,Berat,40.50417000,20.22722000,light rain,14.41,14.41,335047.0,0.0,3605.0,0.0,118491.02,1274.926
Albania,Europe,Kuçovë,Berat,40.80028000,19.91667000,broken clouds,18.93,18.93,335047.0,0.0,3605.0,0.0,118491.02,1274.926
Albania,Europe,Poliçan,Berat,40.61222000,20.09806000,light rain,16.44,16.44,335047.0,0.0,3605.0,0.0,118491.02,1274.926
Albania,Europe,Bashkia Berat,Berat,40.69997000,19.94983000,light rain,17.6,17.6,335047.0,0.0,3605.0,0.0,118491.02,1274.926
Albania,Europe,Bashkia Kuçovë,Berat,40.82489000,19.95350000,broken clouds,18.36,18.36,335047.0,0.0,3605.0,0.0,118491.02,1274.926
Albania,Europe,Bashkia Poliçan,Berat,40.58608000,20.04535000,light rain,14.15,14.15,335047.0,0.0,3605.0,0.0,118491.02,1274.926
Albania,Europe,Bashkia Skrapar,Berat,40.56036000,20.25477000,light rain,10.53,10.53,335047.0,0.0,3605.0,0.0,118491.02,1274.926
Albania,Europe,Rrethi i Beratit,Berat,40.66667000,20.00000000,light rain,17.8,17.8,335047.0,0.0,3605.0,0.0,118491.02,1274.926
Algeria,Africa,Adrar,Adrar,27.87429000,-0.29388000,broken clouds,30.15,30.15,272139.0,18.0,6881.0,0.0,5984.05,151.306
Algeria,Africa,Aoulef,Adrar,26.96667000,1.08333000,few clouds,31.07,31.07,272139.0,18.0,6881.0,0.0,5984.05,151.306
Algeria,Africa,Reggane,Adrar,26.71576000,0.17140000,clear sky,30.66,30.66,272139.0,18.0,6881.0,0.0,5984.05,151.306
Algeria,Africa,Timimoun,Adrar,29.26388000,0.23098000,clear sky,27.21,27.21,272139.0,18.0,6881.0,0.0,5984.05,151.306
Algeria,Africa,Aïn Defla,Aïn Defla,36.26405000,1.96790000,scattered clouds,21.69,21.69,272139.0,18.0,6881.0,0.0,5984.05,151.306
Algeria,Africa,El Abadia,Aïn Defla,36.26951000,1.68609000,broken clouds,22.56,22.56,272139.0,18.0,6881.0,0.0,5984.05,151.306
Algeria,Africa,El Attaf,Aïn Defla,36.22393000,1.67187000,broken clouds,22.75,22.75,272139.0,18.0,6881.0,0.0,5984.05,151.306
Algeria,Africa,Khemis Miliana,Aïn Defla,36.26104000,2.22015000,broken clouds,21.27,21.27,272139.0,18.0,6881.0,0.0,5984.05,151.306
Algeria,Africa,Theniet el Had,Aïn Defla,35.87111000,2.02806000,broken clouds,15.49,15.49,272139.0,18.0,6881.0,0.0,5984.05,151.306
Algeria,Africa,Aïn Temouchent,Aïn Témouchent,35.29749000,-1.14037000,clear sky,22.1,22.1,272139.0,18.0,6881.0,0.0,5984.05,151.306
American Samoa,Oceania,Sua,Eastern,-14.27710880,-170.71442630,scattered clouds,29.88,29.88,8359.0,0.0,34.0,0.0,172831.6,702.988
American Samoa,Oceania,Faleasao,Manuʻa,-14.20385490,-169.54907370,light rain,28.6,28.6,8359.0,0.0,34.0,0.0,172831.6,702.988
American Samoa,Oceania,Ofu,Manuʻa,-14.17135950,-169.71939120,moderate rain,28.4,28.4,8359.0,0.0,34.0,0.0,172831.6,702.988
American Samoa,Oceania,Tau,Manuʻa,-14.24215010,-169.55101650,scattered clouds,11.57,11.57,8359.0,0.0,34.0,0.0,172831.6,702.988
American Samoa,Oceania,Ituʻau,Eastern,-14.30616430,-170.80691440,light rain,25.59,25.59,8359.0,0.0,34.0,0.0,172831.6,702.988
American Samoa,Oceania,Maʻoputasi,Eastern,-14.25216850,-170.74187670,light rain,27.04,27.04,8359.0,0.0,34.0,0.0,172831.6,702.988
American Samoa,Oceania,Saʻole,Eastern,-14.29995700,-170.61763370,light rain,27.04,27.04,8359.0,0.0,34.0,0.0,172831.6,702.988
American Samoa,Oceania,Vaifanua,Eastern,-14.25578040,-170.76301810,light rain,27.04,27.04,8359.0,0.0,34.0,0.0,172831.6,702.988
American Samoa,Oceania,Fitiuta,Manuʻa,-14.20386340,-169.51690440,light rain,28.7,28.7,8359.0,0.0,34.0,0.0,172831.6,702.988
American Samoa,Oceania,Olosega,Manuʻa,-14.17422270,-169.63981240,moderate rain,28.47,28.47,8359.0,0.0,34.0,0.0,172831.6,702.988
Andorra,Europe,Andorra la Vella,Andorra la Vella,42.50779000,1.52109000,overcast clouds,1.61,4.44,48015.0,0.0,159.0,0.0,602280.44,1994.431
Andorra,Europe,Canillo,Canillo,42.56760000,1.59756000,overcast clouds,1.02,3.01,48015.0,0.0,159.0,0.0,602280.44,1994.431
Andorra,Europe,El Tarter,Canillo,42.57952000,1.65362000,overcast clouds,1.86,3.85,48015.0,0.0,159.0,0.0,602280.44,1994.431
Andorra,Europe,Encamp,Encamp,42.53474000,1.58014000,light snow,-2.29,0.55,48015.0,0.0,159.0,0.0,602280.44,1994.431
Andorra,Europe,Pas de la Casa,Encamp,42.54277000,1.73361000,light snow,-0.81,1.18,48015.0,0.0,159.0,0.0,602280.44,1994.431
Andorra,Europe,les Escaldes,Escaldes-Engordany,42.50729000,1.53414000,overcast clouds,5.38,8.22,48015.0,0.0,159.0,0.0,602280.44,1994.431
Andorra,Europe,Arinsal,La Massana,42.57205000,1.48453000,overcast clouds,2.22,5.06,48015.0,0.0,159.0,0.0,602280.44,1994.431
Andorra,Europe,la Massana,La Massana,42.54499000,1.51483000,overcast clouds,0.86,3.7,48015.0,0.0,159.0,0.0,602280.44,1994.431
Andorra,Europe,Ordino,Ordino,42.55623000,1.53319000,overcast clouds,3.28,5.27,48015.0,0.0,159.0,0.0,602280.44,1994.431
Andorra,Europe,Sant Julià de Lòria,Sant Julià de Lòria,42.46372000,1.49129000,light rain,4.89,7.73,48015.0,0.0,159.0,0.0,602280.44,1994.431
Angola,Africa,Caxito,Bengo,-8.57848000,13.66425000,broken clouds,33.23,33.23,107481.0,0.0,1937.0,0.0,3016.162,54.357
Angola,Africa,Dande,Bengo,-8.11330000,13.76520000,broken clouds,38.55,38.55,107481.0,0.0,1937.0,0.0,3016.162,54.357
Angola,Africa,Ambriz,Bengo,-7.85740000,13.12510000,broken clouds,29.58,29.58,107481.0,0.0,1937.0,0.0,3016.162,54.357
Angola,Africa,Bula Atumba,Bengo,-7.31170000,14.31470000,broken clouds,29.62,29.62,107481.0,0.0,1937.0,0.0,3016.162,54.357
